,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Revenue (亿美元),226.8,236.01,164.34,97.63
Gross Profit (亿美元),104.6,106.03,79.29,43.47
Gross Profit Margin,46.12%,44.93%,48.25%,44.53%
Operating Profit (亿美元),4.01,12.64,36.48,13.69
Operating Profit Margin,1.77%,5.36%,22.2%,14.02%
Pretax Profit (亿美元),4.92,11.84,36.69,12.75
Pretax Profit Margin,2.17%,5.02%,22.33%,13.06%
Net Profit (亿美元),8.54,13.2,31.62,24.9
Net Profit Margin,3.77%,5.59%,19.24%,25.5%
Asset (亿美元),678.85,675.8,124.19,89.62
Asset Turnover,0.33409442439419607,0.3492305415803492,1.3232949512843224,1.0893773711225172
Free Cash Flow (亿美元),11.21,31.15,32.2,7.77
Invest Cash Flow (亿美元),-14.23,19.99,-6.86,-9.52
Operating Cash Flow (亿美元),16.67,35.65,35.21,10.71
Capital Expenditure (亿美元),-5.46,-4.5,-3.01,-2.94
